Model,Architecture,Generation,Block,EtaC,LambdaC,BlockDriftNorm
SmolLM_CtrlA,sequential,4,17,0.000921875,2169.491525423729,0.7303048372268677
SmolLM_CtrlA,sequential,4,18,0.0175,114.28571428571428,0.7422845363616943
SmolLM_CtrlA,sequential,4,19,0.00190625,1049.1803278688524,0.7408074140548706
SmolLM_CtrlA,sequential,4,20,0.007375,271.1864406779661,0.7625514268875122
SmolLM_CtrlA,sequential,4,21,0.0002578125,7757.575757575757,0.7304882407188416
SmolLM_CtrlA,sequential,4,22,0.00039843750000000003,5019.607843137254,0.7277454733848572
SmolLM_CtrlA,sequential,4,23,0.0035624999999999997,561.4035087719299,0.7315495014190674
SmolLM_CtrlA,sequential,4,24,6.8359375e-05,29257.142857142855,0.7195615768432617
SmolLM_CtrlA,sequential,4,25,0.00041406250000000004,4830.188679245282,0.7006343603134155
SmolLM_CtrlA,sequential,4,26,0.0029375,680.8510638297872,0.7296708822250366
SmolLM_CtrlA,sequential,4,27,0.00109375,1828.5714285714284,0.7289344072341919
SmolLM_CtrlA,sequential,4,28,0.005124999999999999,390.24390243902445,0.7224161028862
SmolLM_CtrlA,sequential,4,29,0.005375,372.093023255814,0.6820863485336304
SmolLM_CtrlA,sequential,5,0,0.00013671875,14628.571428571428,0.40112540125846863
SmolLM_CtrlA,sequential,5,1,1.5380859375e-05,130031.74603174604,0.3963336944580078
SmolLM_CtrlA,sequential,5,2,4.516601562500001e-06,442810.81081081077,0.3657746911048889
SmolLM_CtrlA,sequential,5,3,3.808593750000001e-05,52512.8205128205,0.3848128914833069
SmolLM_CtrlA,sequential,5,4,0.00039843750000000003,5019.607843137254,0.37636998295783997
SmolLM_CtrlA,sequential,5,5,0.000921875,2169.491525423729,0.43774256110191345
SmolLM_CtrlA,sequential,5,6,0.00109375,1828.5714285714284,0.45426151156425476
SmolLM_CtrlA,sequential,5,7,0.0002578125,7757.575757575757,0.4961067736148834
SmolLM_CtrlA,sequential,5,8,0.0023125000000000003,864.8648648648648,0.5242178440093994
SmolLM_CtrlA,sequential,5,9,0.004375,457.1428571428571,0.548433780670166
SmolLM_CtrlA,sequential,5,10,0.00016015624999999998,12487.804878048782,0.6609933972358704
SmolLM_CtrlA,sequential,5,11,3.22265625e-05,62060.60606060606,0.7265912294387817
SmolLM_CtrlA,sequential,5,12,0.00020703125000000002,9660.377358490565,0.7081574201583862
SmolLM_CtrlA,sequential,5,13,0.0017187500000000002,1163.6363636363635,0.7113201022148132
SmolLM_CtrlA,sequential,5,14,8.007812499999999e-05,24975.609756097565,0.7173986434936523
SmolLM_CtrlA,sequential,5,15,1.611328125e-05,124121.21212121211,0.7233303189277649
SmolLM_CtrlA,sequential,5,16,0.0012187500000000002,1641.0256410256407,0.7147749066352844
SmolLM_CtrlA,sequential,5,17,0.00019140625,10448.979591836734,0.7222716808319092
SmolLM_CtrlA,sequential,5,18,0.0245,81.63265306122449,0.7333455085754395
SmolLM_CtrlA,sequential,5,19,0.0002578125,7757.575757575757,0.7370060682296753
SmolLM_CtrlA,sequential,5,20,0.0011562500000000002,1729.7297297297296,0.7613367438316345
SmolLM_CtrlA,sequential,5,21,0.0012812499999999998,1560.9756097560978,0.7275194525718689
SmolLM_CtrlA,sequential,5,22,0.0003359375,5953.488372093024,0.7183977961540222
SmolLM_CtrlA,sequential,5,23,0.000765625,2612.2448979591836,0.721411943435669
SmolLM_CtrlA,sequential,5,24,0.0008593750000000001,2327.272727272727,0.7115494608879089
SmolLM_CtrlA,sequential,5,25,0.0030625,653.0612244897959,0.693539559841156
SmolLM_CtrlA,sequential,5,26,0.00039843750000000003,5019.607843137254,0.7285812497138977
SmolLM_CtrlA,sequential,5,27,0.000765625,2612.2448979591836,0.7234662771224976
SmolLM_CtrlA,sequential,5,28,0.0036875,542.3728813559322,0.7238052487373352
SmolLM_CtrlA,sequential,5,29,0.0017187500000000002,1163.6363636363635,0.6974465250968933
GPT2,sequential,1,0,4.78515625e-05,41795.91836734694,4.625829696655273
GPT2,sequential,1,1,0.00010351562500000001,19320.75471698113,4.585178375244141
GPT2,sequential,1,2,8.007812499999999e-05,24975.609756097565,4.466519355773926
GPT2,sequential,1,3,8.007812499999999e-05,24975.609756097565,4.35148286819458
GPT2,sequential,1,4,2.4902343750000002e-05,80313.72549019607,4.298281192779541
GPT2,sequential,1,5,2.099609375e-05,95255.81395348838,4.364148139953613
GPT2,sequential,1,6,6.4453125e-05,31030.30303030303,4.343747138977051
GPT2,sequential,1,7,1.708984375e-05,117028.57142857142,4.404470920562744
GPT2,sequential,1,8,4.0039062499999995e-05,49951.21951219513,4.565044403076172
GPT2,sequential,1,9,3.41796875e-05,58514.28571428571,4.8783721923828125
GPT2,sequential,1,10,5.1757812500000005e-05,38641.50943396226,5.5691423416137695
GPT2,sequential,1,11,0.00184375,1084.7457627118645,6.424760341644287
